ID,Track,Title,Authors
86,Track 8. Human-Centred IS Design,"Digital Accessibility: Perceptions, Expectations and Reality",Vivienne Conway and Amanda Mace
100,Track 8. Human-Centred IS Design,Setting the e-Commerce Scene: A Qualitative Investigation of the Use of Nature Imagery in User Interface Design,"Ashlea Rendell, Marc Adam and Ami Eidels"
102,Track 8. Human-Centred IS Design,Focused Immersion: When Do Information Technology Affordances Disrupt It?,Sander Paul Zwanenburg
129,Track 9. Knowledge Management and Analytics,Are business intelligence systems different to decision support systems and other business information systems?,"David Arnott, Shijia Gao, Felix Lizama, Rob Meredith and Yutong Song"
144,Track 9. Knowledge Management and Analytics,From Knowledge to Action: Exploring the Interactions between Theory and Practice,Zeena Alsamarra’I
159,Track 9. Knowledge Management and Analytics,Decision making for Farmers: A case study of Agricultural Routing Planning,"Amalia Utamima, Torsten Reiners and Amir H. Ansaripoor"
141,"Track 10. IS Philosophy, Theory, and Research Methods","www.litbaskets.io, an IT Artifact Supporting Exploratory Literature Searches for Information Systems Research",Sebastian Boell and Blair Wang
12,"Track 10. IS Philosophy, Theory, and Research Methods","Beyond Bourdieu, Foucault and Habermas: Review and Assessment of Critical Information Systems Research","Blair Wang, Daniel Schlagwein, Dubravka Cecez-Kecmanovic and Michael Cahalane"
43,"Track 10. IS Philosophy, Theory, and Research Methods",Revisiting hylomorphism: What can it contribute to our understanding of information systems?,"Lauren A Bennett, Janet Toland, Bronwyn Howell and Mary Tate"
14,Track 11. Social Computing and Co-Creation,Leveraging Online Social Capital: How the German Red Cross Uses Social Networking Sites,"Diana Fischer-Pressler, Julian Marx, Christian Ehnis and Kai Fischbach"
50,Track 11. Social Computing and Co-Creation,"The Role of State Boredom, State of Fear of Missing Out and State Loneliness in State Phubbing",Yeslam Al-Saggaf and Sarah O’Donnell
70,Track 11. Social Computing and Co-Creation,Collective Identity Formation on Instagram - Investigating the Social Movement Fridays for Future,"Felix Brünker, Fabian Deitelhoff and Milad Mirbabaie"
99,Track 11. Social Computing and Co-Creation,Why Is Your Crowd Abandoning You? Exploring Crowdsourcing Discontinuance through the Lens of Motivation Theory,"Wael Soliman, Tapani Rinta-Kahila and Joona Kaikkonen"
49,Track 11. Social Computing and Co-Creation,How Does Brand Popularity Affect Patrons’ Continuance? Examining the Mediating Role of Customer Commitment,Heng Tang
34,Track 11. Social Computing and Co-Creation,What Should Businesses Know About Social Media Analytics?,Gohar Khan and Stuart Dillon
68,Track 11. Social Computing and Co-Creation,Addiction to Social Network Site Use: An Information Technology Identity Perspective,"Layla Boroon, Babak Abedin and Shadi Erfani"
87,Track 11. Social Computing and Co-Creation,The business value of social media: A dynamic managerial capabilities perspective,"Siddharth Majhi, Arindam Mukherjee and Ambuj Anand"
196,Track 11. Social Computing and Co-Creation,Towards a Digital Platform to Support/Enhance Community-based Tourism in Developing Countries - Findings from Nepal,"Sojen Pradhan, Christian Ehnis and Sanjay Lama"
32,Track 12. IS in Supply Chain Management,Augmenting the distribution of goods from warehouses in dynamic demand environments using intelligent agents,"Tania Binos, Vince Bruno and Arthur Adamopoulos"
163,Track 12. IS in Supply Chain Management,Modelling the supply chain impact of a digital terminal appointment systems parameters and user behaviours. A discrete event simulation approach,"Mihai Neagoe, Mohammad Sadegh Taskhiri, Hans-Henrik Hvolby and Paul Turner"
117,Track 12. IS in Supply Chain Management,Information System Guided Supply Chains and their Visual Analytics in Integrated Project Management,"Shastri Nimmagadda, Torsten Reiners, Lincoln Wood and Neel Mani"
139,Track 13. Digital Healthcare Systems,Videoconference in Psychotherapy: Understanding research and practical implications,"Francesco Cataldo, Antonette Mendoza, Shanton Chang and George Buchanan"
182,Track 13. Digital Healthcare Systems,Medical Transcriptionist’s Experience with Speech Recognition Technology,Honorato Jr Altar and Raymund Sison
33,Track 13. Digital Healthcare Systems,The MyHealthRecord System in General Practices: Steps Towards Adoption Sustainability,Urooj Raza Khan and Christopher Pearce
51,Track 13. Digital Healthcare Systems,Developing an instrument to measure the adoption of mobile devices in the telehealth environment,"Vasundhara Rani, Abdul Hafeez- Baig and Raj Gururajan"
45,Track 13. Digital Healthcare Systems,Adoption of M-Health Applications: The Saudi Arabian Healthcare Perspectives,Nasser Aljohani and Daniel Chandran
103,Track 13. Digital Healthcare Systems,Persuasive Social Support Features in Diabetes SelfManagement mHealth Applications,"Elena Vlahu-Gjorgievska, Amer Salem Alkorbi, Mohammed Mithqab Nushayli and Khin Than Win"
120,Track 13. Digital Healthcare Systems,Transformation through Big Data Analytics: a Qualitative Enquiry in Healthcare,Kasuni Weerasinghe
166,Track 13. Digital Healthcare Systems,Socio-Technical Perspective on Managing Type II Diabetes,"Adel Omar, Ghassan Beydoun, Khin Win, Nagesh Shukla and George Baker"
52,Track 13. Digital Healthcare Systems,Perceptions and challenges of EHR clinical data quality,"Shane Downey, Shazia Sadiq and Marta Indulska"
47,Track 13. Digital Healthcare Systems,Using the Decomposed Theory of Planned Behaviour to explain Healthcare Consumer Adoption of Electronic Health Records,"Neethu Mathai, Tanya McGill and Danny Toohey"
145,Track 13. Digital Healthcare Systems,Insights of Medication Adherence Management: A Qualitative Study with Healthcare Professionals and Technology Designers,"Nawal Chanane, Farhaan Mirza and M. Asif Naeem"
108,Track 13. Digital Healthcare Systems,Towards Addressing Cognitive Load in Training on Electronic Medical Record Systems,"Sarang Hashemi, Frada Burstein, Kenneth Tan and Christopher Bain"
107,"Track 14. IS Education, Curriculum, and Teaching Classes",Evaluating Persuasion in a Digital Learning Environment,"Justin Filippou, Christopher Cheong and France Cheong"
173,"Track 14. IS Education, Curriculum, and Teaching Classes",Are ERP Simulation Games Assisting Students to be Job-Ready? An Australian Universities’ Perspective,"Nadia Faisal, Mehmood Chadhar, Anitra Goriss-Hunter and Andrew Stranieri"
60,"Track 14. IS Education, Curriculum, and Teaching Classes",Trialling a Comparative Assessment Tool for Modelling-oriented Assignments - Findings and Recommendations,Andreas Drechsler
74,"Track 14. IS Education, Curriculum, and Teaching Classes",Making the world a better place with Mixed Reality in Education,Blooma John and Jayan Kurian
11,"Track 14. IS Education, Curriculum, and Teaching Classes",Students’ awareness of Augmented Reality adoption in Saudi Arabia Universities,Muteeb Alahmari
38,"Track 14. IS Education, Curriculum, and Teaching Classes",Factors Affecting the Saudi Arabian Higher Education Creative Environment,"Mamdouh Qahl, Prof. Igor Hawryszkiewycz, Muhammad Binsawad and Junaid Rehman"
161,"Track 14. IS Education, Curriculum, and Teaching Classes",Students’ Use of Internet Technologies for Interactions in Learning Practices: A Study from Saudi Arabia’s Higher Education,"Mona Mesfer Alshardan, Antonette Mendoza, Shanton Chang and Richard Sinnott"
125,"Track 14. IS Education, Curriculum, and Teaching Classes",Building a Single Classroom with Technology,Lisa Soon and Michael Cowling
169,"Track 14. IS Education, Curriculum, and Teaching Classes",GAD: A framework for developing an effective group work assessment,"Akther Shermin, Buddhima De Silva and Ashini Wesumperuma"
89,Track 15. Security and Privacy,A Trust Based Smart City Adoption Model for the Australian Regional Cities: A Conceptual Framework,"Chiranjivi Neupane, Santoso Wibowo, Srimannarayana Grandhi and Md Rahat Hossain"
104,Track 15. Security and Privacy,IT Risk Management Implementation as SocioTechnical Change: A Process Approach,"Neda Azizi, Bruce Rowlands and Shah Jahan Miah"
158,Track 15. Security and Privacy,Cloud Forensics Investigations Relationship: A Model And Instrument,"Younis Al Husaini, Matt Warren, Lei Pan and Mansoor Al Gharibi"
20,Track 15. Security and Privacy,Exploring Knowledge Leakage Risk in KnowledgeIntensive Organisations: behavioural aspects and key controls,"Hibah Altukruni, Sean B. Maynard, Moneer Alshaikh and Atif Ahmad"
71,Track 15. Security and Privacy,What motivates teenagers to comply with security guidelines?,Florence Mwagwabi and Jhee Jiow
80,Track 15. Security and Privacy,The Study on the Effectiveness of Preventive methods for Online Piracy,Jooyeon Park
73,Track 15. Security and Privacy,Cloud privacy and security issues beyond technology: championing the cause of accountability,Joshua Katebe Mwenya and Irwin Brown
83,Track 15. Security and Privacy,Why Johnny can’t rely on anti-phishing educational interventions to protect himself against contemporary phishing attacks?,Matheesha Fernando and Nalin Arachchilage
4,Track 15. Security and Privacy,The Dark Web Phenomenon: A Review and Research Agenda,"Abhineet Gupta, Sean B. Maynard and Atif Ahmad"
94,Track 15. Security and Privacy,Enhancing Strategic Information Security Management in Organizations through Warfare Practices,"Abid Hussain Shah, Atif Ahmad, Sean B. Maynard and Humza Naseer"
143,Track 15. Security and Privacy,Dynamic Information Security Management Capability: Strategising for Organisational Performance,"Mazino Onibere, Atif Ahmad and Sean B. Maynard"
37,Track 15. Security and Privacy,Information Security Models are a Solution or Puzzle for SMEs? A Systematic Literature Review,"Sameera Mubarak, Haneen Heyasat and Santoso Wibowo"
22,Track 16. Blockchain Technology and Adoption,Making Sense of Blockchain in Food Supply-Chains,"Andrew Croxson, Ravi Sharma and Steve Wingreen"
162,Track 16. Blockchain Technology and Adoption,Towards a Triple Bottom Line Perspective of Blockchains in Supply Chain,"Chi Pham, Arthur Adamopoulos and Elizabeth Tait"
195,Track 16. Blockchain Technology and Adoption,How Blockchain can help in Supply Chain Sustainability,"Anulipt Chandan, Vidyasagar Potdar and Michele Rosano"
40,Track 16. Blockchain Technology and Adoption,"Dimensions, Success Factors and Obstacles of the Adoption of Blockchain Technology",Friedrich Holotiuk and Jürgen Moormann
61,Track 16. Blockchain Technology and Adoption,How blockchain impacts cloud-based system performance: a case study for a groupware communication application,"Peter Eklund, Jason Spasovski and Roman Beck"
155,Track 16. Blockchain Technology and Adoption,Challenges and opportunities for Blockchain Technology adoption: A systematic review,"Shipra Chhina, Mehmood Chadhar, Savanid Vatanasakdakul and Madhu Chetty"
202,"Track 17. Panels, Workshops and Tutorials",Tutorial: IS guided Logistics and Supply Chain Management Systems and Knowledge Management,"Shastri Nimmagadda, Torsten Reiners, Lincoln C. Wood"
203,"Track 17. Panels, Workshops and Tutorials",Tutorial: Design Science Research: A Hands-on Tutorial,John Venable
204,"Track 17. Panels, Workshops and Tutorials",Tutorial: Introduction to Blockchain technology,"Vidyasagar Potdar, Sai Charan Mamidi"
205,"Track 17. Panels, Workshops and Tutorials",Panel 2 - (205) Digital Transformation: Environmental friend or foe?,"Sachithra Lokuge, Darshana Sedera, Frada Burstein, Vanessa Cooper"
206,"Track 17. Panels, Workshops and Tutorials",Panel 3 - (206) Information Systems (IS) Education in Australia - where from here?,"Caroline Chan, Frada Burstein, John Venable, Joan Richardson"
207,"Track 17. Panels, Workshops and Tutorials",Workshop: Paper Development Workshop,Annette Mills
209,"Track 17. Panels, Workshops and Tutorials",Panel 1 - (209) Ethics in IT: Importance of Digital Inclusion,"Vivienne Conway, Amanda Mace, Justin Brown, David Lucido, Muhammad Saleem"
211,"Track 17. Panels, Workshops and Tutorials",Panel 4 - (211) Towards ethical guidelines for Social Media Analytics,"Deborah Bunker, Caroline Chan, Dirk S. Hovorka, Sojen Prahdan, Nicolas Frick"
